Player_Name,Date,School,Opponent,Type,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,Class
cole anthony,2020-03-07,UNC,Duke,REG,L,1,39,4,14,0.286,4,12,0.333,0,2,0,1,2,0.5,0,2,2,3,2,0,2,3,9,https://www.sports-reference.com/cbb/players/cole-anthony-1/gamelog/2020,Freshman
cole anthony,2020-03-10,UNC,Virginia Tech,CTOURN,W,1,34,3,10,0.3,2,7,0.286,1,3,0.333,3,5,0.6,1,7,8,4,1,0,4,2,10,https://www.sports-reference.com/cbb/players/cole-anthony-1/gamelog/2020,Freshman
cole anthony,2020-03-11,UNC,Syracuse,CTOURN,L,1,37,2,10,0.2,1,4,0.25,1,6,0.167,0,0,NA,0,4,4,3,0,0,6,3,5,https://www.sports-reference.com/cbb/players/cole-anthony-1/gamelog/2020,Freshman
daniel oturu,2019-11-05,Minnesota,Cleveland State,REG,W,1,27,7,8,0.875,7,8,0.875,0,0,NA,2,2,1,2,8,10,1,0,5,6,3,16,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-11-09,Minnesota,Oklahoma,REG,L,1,34,7,12,0.583,7,10,0.7,0,2,0,1,3,0.333,2,7,9,1,1,3,2,2,15,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-11-12,Minnesota,Butler,REG,L,1,38,9,13,0.692,7,11,0.636,2,2,1,4,5,0.8,4,6,10,2,1,3,4,3,24,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-11-15,Minnesota,Utah,REG,L,1,37,8,13,0.615,6,9,0.667,2,4,0.5,3,4,0.75,8,10,18,2,2,3,0,2,21,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-11-21,Minnesota,Central Michigan,REG,W,1,26,4,7,0.571,4,6,0.667,0,1,0,1,2,0.5,1,11,12,1,0,3,5,2,9,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-11-24,Minnesota,North Dakota,REG,W,1,19,6,14,0.429,6,13,0.462,0,1,0,3,4,0.75,3,3,6,0,0,2,2,3,15,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
daniel oturu,2019-11-29,Minnesota,DePaul,REG,L,1,39,5,10,0.5,5,8,0.625,0,2,0,9,14,0.643,6,12,18,2,1,4,4,2,19,https://www.sports-reference.com/cbb/players/daniel-oturu-1/gamelog/2020,Sophmore
