Season,School,Conf,G,GS,MP,FG,FGA,FG.,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG Per Game,FGA Per Game,2P Per Game,2PA Per Game,3P Per Game,3PA Per Game,FT Per Game,FTA Per Game,ORB Per Game,DRB Per Game,TRB Per Game,AST Per Game,STL Per Game,BLK Per Game,TOV Per Game,PF Per Game,PTS Per Game,SOS Per Game,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS Per 40,OBPM,DBPM,BPM,URL,Player_Name,Class
2019-20,UNC,ACC,22,20,768,131,345,0.38,82,204,0.402,49,141,0.348,96,128,0.75,10,115,125,88,29,6,77,64,407,6,15.7,3.7,9.3,2.2,6.4,4.4,5.8,0.5,5.2,5.7,4,1.3,0.3,3.5,2.9,18.5,10.05,17.5,0.501,0.409,0.371,383,1.4,16.4,8.7,24.1,2.1,0.9,15.9,30,1.2,0.9,2.1,0.108,3.3,1.8,5.1,https://www.sports-reference.com/cbb/players/cole-anthony-1.html,cole anthony,Freshman
2019-20,Villanova,Big East,31,31,1051,175,367,0.477,96,192,0.5,79,175,0.451,70,91,0.769,40,107,147,74,24,12,46,77,499,5.6,11.8,3.1,6.2,2.5,5.6,2.3,2.9,1.3,3.5,4.7,2.4,0.8,0.4,1.5,2.5,16.1,10.03,21.6,0.608,0.477,0.248,464,4.5,11.4,8,14.9,1.4,1.1,10.1,22.8,3.6,1.4,4.9,0.188,6.2,1.9,8.1,https://www.sports-reference.com/cbb/players/saddiq-bey-1.html,saddiq bey,Sophmore
2019-20,Maryland,Big Ten,31,31,970,168,312,0.538,136,225,0.604,32,87,0.368,111,148,0.75,99,227,326,25,22,73,53,73,479,5.4,10.1,4.4,7.3,1,2.8,3.6,4.8,3.2,7.3,10.5,0.8,0.7,2.4,1.7,2.4,15.5,10.5,29.3,0.626,0.279,0.474,444,11.5,25.6,18.6,6,1.3,8.2,12.2,22.8,3.6,2.4,6,0.249,7.7,4.3,12,https://www.sports-reference.com/cbb/players/jalen-smith-1.html,jalen smith,Sophmore
2019-20,Alabama,SEC,31,31,1167,206,449,0.459,150,296,0.507,56,153,0.366,105,131,0.802,26,122,148,162,56,18,110,81,573,6.6,14.5,4.8,9.5,1.8,4.9,3.4,4.2,0.8,3.9,4.8,5.2,1.8,0.6,3.5,2.6,18.5,8.12,19.8,0.56,0.341,0.292,593,2.3,10.6,6.5,27.7,2.5,1.5,17.7,24.3,2.9,1.2,4.1,0.142,3.8,1.7,5.5,https://www.sports-reference.com/cbb/players/kira-lewisjr-1.html,kira lewisjr,Sophmore
2019-20,Arizona,Pac-12,30,30,926,122,288,0.424,92,205,0.449,30,83,0.361,85,109,0.78,39,98,137,78,46,13,49,73,359,4.1,9.6,3.1,6.8,1,2.8,2.8,3.6,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12,8.4,17.9,0.528,0.288,0.378,360,4.8,11.9,8.4,16,2.8,1.6,12.6,20.7,2,1.9,3.8,0.166,2.8,4.1,6.9,https://www.sports-reference.com/cbb/players/josh-green-2.html,josh green,Freshmen
2019-20,Washington,Pac-12,31,21,963,136,336,0.405,93,209,0.445,43,127,0.339,87,114,0.763,34,146,180,65,24,43,100,103,402,4.4,10.8,3,6.7,1.4,4.1,2.8,3.7,1.1,4.7,5.8,2.1,0.8,1.4,3.2,3.3,13,8.25,14.6,0.515,0.378,0.339,394,4.4,15.8,10.6,14.6,1.4,4.9,20.4,25.6,0.6,1.7,2.3,0.096,0.3,2.2,2.6,https://www.sports-reference.com/cbb/players/jaden-mcdaniels-1.html,jaden mcdaniels,Freshman
2019-20,Arizona,Pac-12,32,32,1032,144,367,0.392,91,205,0.444,53,162,0.327,106,133,0.797,8,72,80,169,38,0,82,55,447,4.5,11.5,2.8,6.4,1.7,5.1,3.3,4.2,0.3,2.3,2.5,5.3,1.2,0,2.6,1.7,14,8.4,17.2,0.52,0.441,0.362,472,0.9,7.9,4.4,31.5,2.1,0,16,24.5,2.2,1.7,3.9,0.152,3.6,1.8,5.4,https://www.sports-reference.com/cbb/players/nico-mannion-1.html,nico mannion,Freshman
2019-20,Mississippi State,SEC,31,31,1025,136,275,0.495,106,205,0.517,30,70,0.429,50,78,0.641,68,135,203,40,35,32,58,58,352,4.4,8.9,3.4,6.6,1,2.3,1.6,2.5,2.2,4.4,6.5,1.3,1.1,1,1.9,1.9,11.4,6.96,18.1,0.564,0.255,0.284,337,8.2,14.8,11.7,7.6,2,3.4,15.7,18.2,2,1.3,3.3,0.128,4.1,1.9,6,https://www.sports-reference.com/cbb/players/robert-woodard-2.html,robert woodard,sophmore
2019-20,Washington,Pac-12,32,32,1031,192,337,0.57,187,317,0.59,5,20,0.25,154,199,0.774,88,193,281,27,17,66,71,84,543,6,10.5,5.8,9.9,0.2,0.6,4.8,6.2,2.8,6,8.8,0.8,0.5,2.1,2.2,2.6,17,8.25,26.9,0.629,0.059,0.591,510,10.7,19.5,15.5,6.3,0.9,7,14.1,24.5,3.7,2,5.7,0.222,5,2.4,7.4,https://www.sports-reference.com/cbb/players/isaiah-stewart-2.html,isaiah stewart,Freshman
2019-20,Colorado,Pac-12,31,30,898,140,264,0.53,127,233,0.545,13,31,0.419,136,183,0.743,62,218,280,46,48,36,75,59,429,4.5,8.5,4.1,7.5,0.4,1,4.4,5.9,2,7,9,1.5,1.5,1.2,2.4,1.9,13.8,8.31,26.7,0.611,0.117,0.693,412,8.4,27.9,18.4,11.5,3.1,4.2,17.6,24.4,2.6,2.5,5.1,0.228,5.2,5,10.1,https://www.sports-reference.com/cbb/players/tyler-bey-1.html,tyler bey,Junior
